Timestamp	1. Enter audio file name:	2. Audio transcription:
5/26/2024 9:06:55	utulimbusha_22_1289_1303_14_13	Ecalengelengele mukwai ku Russia nako kulya balavota ukusala mwalishiba ku Russia, ba Russia baliimina batwanikane ba Ukraine kanshi bashikulu bakateka bakuli cilya calo bacivota lelo abantu balevota ukumona batiile iyo mukwai alewina uyu wine tulekonka abantu nisambu shabo kulya
5/26/2024 9:12:45	bemba_news_item_2_250_254_4_4	Abatungilila imibombele mukufunda imisepela palubali nendalama
5/26/2024 9:19:00	utulimbusha_22_1109_1116_7_7	Ilyo bafumine kulya kuluwingu baile kucende imu kumikoti uko bailepoosa inshita iitali nga nshi basha ne ng'anda mulya mu gaf mu copu
5/26/2024 9:23:49	utulimbusha_22_528_535_7_6	Ciwa camusendele fintu nangu tulelola kwisa katwishi tulelikonka bakatushimikilako bakamone uko tukafika tukamishimikilako uyu mulungu
5/26/2024 9:26:34	utulimbusha_21_1552_1580_28_9	NA 0965419725, 0965419725, kukampemba ward mukwai kuli ba honorable Ba Bernard mukwai
5/26/2024 9:34:28	utulimbusha_21_1419_1447_28_18	Eili yabwele fino ndelanda ati ili palukungu lye tuka lya uyu muntu abutukile Ku Mansa kulya kukapokola, bakapokola elyo beleko muno cungulo katwishi ifyo balakankanbula, pantu icitaleme awe cilakanye mbokoshi pantu teti na bakapokola baiimye ilakana ila kano fye nga bapaala abene elyo yaima tulekonke lyashi tukesa ishimika uyo mulungu pakuti tukamone lyashi lyamusango shani
5/26/2024 9:37:24	utulimbusha_21_192_214_22_7	Mukwai balaafwilisha abantu mufintu ifyalekanalekana sana sana mufyamapepo, mufyala wandi uyu Sombo Mimba epashili pakuleka
5/26/2024 9:43:56	utulimbusha_20_1580_1599_19_19	Kulya kuli bamayo ba Chokocha nako kwaba akantu Lesa alibapela amano pa 0977788455,0977788455, 0977788455, uko nako mukwai baafwileko namayo mukwai uo bapapikishe mukwai umwana kumukashi munanakwe ukukanalafyala pamyaka 9
5/26/2024 9:48:27	utulimbusha_20_1181_1208_27_6	Icungulo cilebafye ati mwalaumfwa icalaisa lila nga cakuti pali icisenda, kwena efyo mwene ine pali icisenda ishi indalama
5/26/2024 9:55:22	utulimbusha_20_1363_1367_4_4	Ku Luwingu mukwai kwatungatu uko mukwai nabwinga aponeshe mukwai umupamba ifimbusa
5/26/2024 9:56:43	utulimbusha_19_1348_1351_3_2	A-Alifwa nao nokuipaya aliipaya
5/26/2024 10:02:29	utulimbusha_19_999_1021_22_11	Ekwima ulucelo ukubwelelamo ukuyasaala na kubene mukwai ine newasendele kapenta nine nsenda ekumwimya ukumutwala kuli bashikulu batwafwane ukutila ati iyo umuntu uyu namoneka efyo bailetila ati we mwaume
5/26/2024 10:12:42	utulimbusha_19_145_150_5_5	Ati nomba ifyo acita nampo nga aya poka umuti uwakuti awine nampo nga afumya ubwanga kwisa nampo nga acita shani katwishi
5/26/2024 10:15:36	utulimbusha_19_93_98_5_4	Wabala mukwai walayoyomba fye fimo ifintu filapesha amano ndelikonka ilyashi nkamone
5/26/2024 10:17:16	utulimbusha_18_1063_1066_3_2	0975443294
5/26/2024 10:22:22	utulimbusha_18_800_823_23_14	Awe awe awe nakalya ifyamumakola ifunde lyalikanya ne cipingo cakwa Lesa calilesha namafunde, nga walolesha mukwai amafunde tubika muma,muma pino code no mwashala ifingi bafumya mu baibo fyakubinda ici mwilaesha ici mwilaesha mwikale nga bantu
5/26/2024 10:25:40	utulimbusha_18_753_757_4_4	Sosa uwakupeele fumo ebele iyo kwena nibatata fye balya bene, ebakupa ati?
5/26/2024 10:26:55	utulimbusha_18_743_745_2_2	Umo imipamba imonekele ne fumo lyaingila
5/26/2024 10:29:43	utulimbusha_18_709_718_9_8	Kanshi bamulekela fye nga takaibwelemo mukwai bali nokubakaka aba pakwibilo mwine wabwali nakababa wakwe panuma umwine alefwaya apangeko ka apetite
5/26/2024 10:36:54	utulimbusha_18_662_677_15_15	Epela anayanayanaya bwino bwino afipika ebele oh nalalya nomba ifi ndeumfwa nshikwete ka apetite nshikwete mukwai ah insuuna yakulya nkambale nje nshiteko akamukwampa, akamumkwampa mukwai ni rostondo mukwai kachasu pakuti impeleko mukwai
5/26/2024 10:40:36	utulimbusha_18_435_439_4_4	Icakuti nga baleya nangu nikumabala eulepululula ba onda umwana eleensha motoka
5/26/2024 10:43:48	utulimbusha_18_423_434_11_11	Bashimike ukutila ati alikwata nabana abalumendo nabakashana lelo pali aba abana akwata paliba umukashana umo uo acetekele nga nshi ukumusambilisha bamotoka, kumakwebo ewaliko nafyonse fye
5/26/2024 10:49:54	bemba_news_item_1_490_509_19_18	Bashimike ukutila ati alikwata nabana abalumendo nabakashana lelo pali aba abana akwata paliba umukashana umo uo acetekele nga nshi ukumusambilisha bamotoka, kumakwebo ewaliko nafyonse fye
5/26/2024 10:51:16	bemba_news_item_3_331_333_2_2	Mukabungwe ka ka Misa Zambia
5/26/2024 10:55:04	bemba_news_item_4_305_325_20_14	Pafipatala Five ama mini hospitals ayakuulwa mwibooma, ifipatala 4 fyalipwishiwa ukubobelwapo emukutila nafilinga ukwamba ukubomfya lelo icipatala cimo ecishilapwilishiwa kabili ecileenekelwa ukupwa muli uno mweshi
5/26/2024 10:56:36	bemba_news_item_4_467_487_20_5	Accidents, therefore as teachers we should understand that we have a very big
5/26/2024 21:33:20	utulimbusha_19_437_461_24_15	Mulaya mukweba aba betting ati tubwesesheni muitwalafye mwebene, cimo nokwima  wayaingila mumupila iyo nalateyako naine, mwaaamba ukuteya bakukontonla ukuulu takwaba ukweba uukukontwele ukuulu ati nakutwala ku police bakapokola tabekatanako pantu batila ni voletinani fitting juria
5/26/2024 21:40:53	utulimbusha_19_305_312_7_7	Ati aliipaye mbusha mailo ati pali mukwai palikapana patumbaluba ati kafuumbe palapalala napali musasa kwalefwo kuti bakomanane
5/26/2024 21:47:53	utulimbusha_18_237_264_27_8	Shi Mumbi nsapaila kubamba twankunkula konseko uko tulekonke lyashi mukwai tuleipusha fye tatulashinikisha palya pesukulu limo palya pa Luwingu day secondary school
5/26/2024 21:52:23	utulimbusha_18_207_227_20_9	Ubwele lyashi ilyabipa nga nshi ilyakuti umunobe alinakana ndindindi ati awe mukwai ine mpakafye uuli neciwa mpaka acita ico acita asalipa elyo apeema
5/26/2024 21:57:20	utulimbusha_18_72_96_24_9	Uyu shikulu bantu aya kwa mulungu tatwakamonane nampo nga balelanda mumipashi, lilya line fye mukwai baimye mbokoshi ukuya kumanda mukushiika imbushi yakantu yatangila nakuntashi
